i,out_name,frequency,units,long_name,standard_name,cell_methods,priority,comment,CDX-CORE SI,urban,heatstress,xtrprecip,xtrtemp,compound,extrcyclones,tropcyclones,mountains,drought,uncertainty,fire,energy,n_analyses,n_opt
309,wa500,day,m s-1,Upward Air Velocity at 500hPa,upward_air_velocity,area: time: mean,TIER1,,,,,,,,,,,,,,,0,0
310,wa500,6hr,m s-1,Upward Air Velocity at 500hPa,upward_air_velocity,area: mean time: point,TIER1,,,,,,,,,,,,,,,0,0
311,wa400,mon,m s-1,Upward Air Velocity at 400hPa,upward_air_velocity,area: time: mean,TIER1,,,,,,,,,,,,,,,0,0
312,wa400,day,m s-1,Upward Air Velocity at 400hPa,upward_air_velocity,area: time: mean,TIER1,,,,,,,,,,,,,,,0,0
313,wa400,6hr,m s-1,Upward Air Velocity at 400hPa,upward_air_velocity,area: mean time: point,TIER1,,,,,,,,,,,,,,,0,0
314,wa300,mon,m s-1,Upward Air Velocity at 300hPa,upward_air_velocity,area: time: mean,TIER1,,,,,,,,,,,,,,,0,0
315,wa300,day,m s-1,Upward Air Velocity at 300hPa,upward_air_velocity,area: time: mean,TIER1,,,,,,,,,,,,,,,0,0
316,wa300,6hr,m s-1,Upward Air Velocity at 300hPa,upward_air_velocity,area: mean time: point,TIER1,,,,,,,,,,,,,,,0,0
317,wa250,mon,m s-1,Upward Air Velocity at 250hPa,upward_air_velocity,area: time: mean,TIER1,,,,,,,,,,,,,,,0,0
318,wa250,day,m s-1,Upward Air Velocity at 250hPa,upward_air_velocity,area: time: mean,TIER1,,,,,,,,,,,,,,,0,0
319,wa250,6hr,m s-1,Upward Air Velocity at 250hPa,upward_air_velocity,area: mean time: point,TIER1,,,,,,,,,,,,,,,0,0
320,wa200,mon,m s-1,Upward Air Velocity at 200hPa,upward_air_velocity,area: time: mean,TIER1,,,,,,,,,,,,,,,0,0
321,wa200,day,m s-1,Upward Air Velocity at 200hPa,upward_air_velocity,area: time: mean,TIER1,,,,,,,,,,,,,,,0,0
322,wa200,6hr,m s-1,Upward Air Velocity at 200hPa,upward_air_velocity,area: mean time: point,TIER1,,,,,,,,,,,,,,,0,0
323,ua50m,mon,m s-1,Eastward Wind at 50m,eastward_wind,area: time: mean,TIER1,,,,,,,,,,,,,,,0,0
324,ua50m,day,m s-1,Eastward Wind at 50m,eastward_wind,area: time: mean,TIER1,,,,,,,,,,,,,,1,1,0
325,ua50m,1hr,m s-1,Eastward Wind at 50m,eastward_wind,area: mean time: point,TIER1,,,,,,,,,,,,,,1,1,0
326,ua100m,mon,m s-1,Eastward Wind at 100m,eastward_wind,area: time: mean,TIER1,,,,,,,,,,,,,,,0,0
327,ua100m,day,m s-1,Eastward Wind at 100m,eastward_wind,area: time: mean,TIER1,,,,,,,,,,,,,,1,1,0
328,ua100m,1hr,m s-1,Eastward Wind at 100m,eastward_wind,area: mean time: point,TIER1,,,,,,,,,,,,,,1,1,0
329,ua150m,mon,m s-1,Eastward Wind at 150m,eastward_wind,area: time: mean,TIER1,,,,,,,,,,,,,,,0,0
330,ua150m,day,m s-1,Eastward Wind at 150m,eastward_wind,area: time: mean,TIER1,,,,,,,,,,,,,,,0,0
331,ua150m,1hr,m s-1,Eastward Wind at 150m,eastward_wind,area: mean time: point,TIER1,,,,,,,,,,,,,,,0,0
332,va50m,mon,m s-1,Northward Wind at 50m,northward_wind,area: time: mean,TIER1,,,,,,,,,,,,,,,0,0
333,va50m,day,m s-1,Northward Wind at 50m,northward_wind,area: time: mean,TIER1,,,,,,,,,,,,,,1,1,0
334,va50m,1hr,m s-1,Northward Wind at 50m,northward_wind,area: mean time: point,TIER1,,,,,,,,,,,,,,1,1,0
335,va100m,mon,m s-1,Northward Wind at 100m,northward_wind,area: time: mean,TIER1,,,,,,,,,,,,,,,0,0
336,va100m,day,m s-1,Northward Wind at 100m,northward_wind,area: time: mean,TIER1,,,,,,,,,,,,,,1,1,0
337,va100m,1hr,m s-1,Northward Wind at 100m,northward_wind,area: mean time: point,TIER1,,,,,,,,,,,,,,1,1,0
338,va150m,mon,m s-1,Northward Wind at 150m,northward_wind,area: time: mean,TIER1,,,,,,,,,,,,,,,0,0
339,va150m,day,m s-1,Northward Wind at 150m,northward_wind,area: time: mean,TIER1,,,,,,,,,,,,,,1,1,0
340,va150m,1hr,m s-1,Northward Wind at 150m,northward_wind,area: mean time: point,TIER1,,,,,,,,,,,,,,1,1,0
341,ta50m,mon,K,Air Temperature at 50m,air_temperature,area: time: mean,TIER1,requested for urban modeling,,,,,,,,,,,,,,0,0
342,ta50m,day,K,Air Temperature at 50m,air_temperature,area: time: mean,TIER1,requested for urban modeling,,,,,,,,,,,,,,0,0
343,ta50m,1hr,K,Air Temperature at 50m,air_temperature,area: mean time: point,TIER1,requested for urban modeling,,,,,,,,,,,,,,0,0
344,hus50m,mon,1,Specific Humidity at 50m,specific_humidity,area: time: mean,TIER1,requested for urban modeling,,,,,,,,,,,,,,0,0
345,hus50m,day,1,Specific Humidity at 50m,specific_humidity,area: time: mean,TIER1,requested for urban modeling,,,,,,,,,,,,,,0,0
346,hus50m,1hr,1,Specific Humidity at 50m,specific_humidity,area: mean time: point,TIER1,requested for urban modeling,,,,,,,,,,,,,,0,0
347,evspsblpot,mon,kg m-2 s-1,Potential Evapotranspiration,water_potential_evaporation_flux,area: mean where land time: mean,TIER2,,,,,,,,,,,2,,,,1,1
348,evspsblpot,day,kg m-2 s-1,Potential Evapotranspiration,water_potential_evaporation_flux,area: mean where land time: mean,TIER2,,,,,,,,,,,,,,,0,0
349,evspsblpot,1hr,kg m-2 s-1,Potential Evapotranspiration,water_potential_evaporation_flux,area: mean where land time: mean,TIER2,,,,,,,,,,,,,,,0,0
350,wsgsmax,mon,m s-1,Daily Maximum Near-Surface Wind Speed of Gust,wind_speed_of_gust,area: mean time: maximum within days time: mean over days,TIER2,,,,,,,,,,,,,,,0,0
351,wsgsmax,day,m s-1,Daily Maximum Near-Surface Wind Speed of Gust,wind_speed_of_gust,area: mean time: maximum,TIER2,,,,,,,,,,,,,,1,1,0
352,clh,mon,%,High Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,area: time: mean,TIER2,above 440 hPa,,,,,,,,,,,,,,0,0
353,clh,day,%,High Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,area: time: mean,TIER2,above 440 hPa,,,,,,,,,,,,,,0,0
354,clh,6hr,%,High Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,area: time: mean,TIER2,above 440 hPa,,,,,,,,,,,,,,0,0
355,clm,mon,%,Mid Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,area: time: mean,TIER2,between 680 and 440 hPa,,,,,,,,,,,,,,0,0
356,clm,day,%,Mid Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,area: time: mean,TIER2,between 680 and 440 hPa,,,,,,,,,,,,,,0,0
357,clm,6hr,%,Mid Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,area: time: mean,TIER2,between 680 and 440 hPa,,,,,,,,,,,,,,0,0
358,cll,mon,%,Low Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,area: time: mean,TIER2,below 680 hPa,,,,,,,,,,,,,,0,0
359,cll,day,%,Low Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,area: time: mean,TIER2,below 680 hPa,,,,,,,,,,,,,,0,0
360,cll,6hr,%,Low Level Cloud Fraction,cloud_area_fraction_in_atmosphere_layer,area: time: mean,TIER2,below 680 hPa,,,,,,,,,,,,,,0,0
361,rsdscs,mon,W m-2,Surface Downwelling Clear-Sky Shortwave Radiation,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
362,rsdscs,day,W m-2,Surface Downwelling Clear-Sky Shortwave Radiation,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,area: time: mean,TIER2,,,,,,,,,,1,,,,,1,0
363,rsdscs,6hr,W m-2,Surface Downwelling Clear-Sky Shortwave Radiation,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,area: time: mean,TIER2,,,,,,,,,,,,,,1,1,0
364,rldscs,mon,W m-2,Surface Downwelling Clear-Sky Longwave Radiation,surface_downwelling_longwave_flux_in_air_assuming_clear_sky,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
365,rldscs,day,W m-2,Surface Downwelling Clear-Sky Longwave Radiation,surface_downwelling_longwave_flux_in_air_assuming_clear_sky,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
366,rldscs,6hr,W m-2,Surface Downwelling Clear-Sky Longwave Radiation,surface_downwelling_longwave_flux_in_air_assuming_clear_sky,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
367,rsuscs,mon,W m-2,Surface Upwelling Clear-Sky Shortwave Radiation,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
368,rsuscs,day,W m-2,Surface Upwelling Clear-Sky Shortwave Radiation,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky,area: time: mean,TIER2,,,,,,,,,,1,,,,,1,0
369,rsuscs,6hr,W m-2,Surface Upwelling Clear-Sky Shortwave Radiation,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
370,rluscs,mon,W m-2,Surface Upwelling Clear-Sky Longwave Radiation,surface_upwelling_longwave_flux_in_air_assuming_clear_sky,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
371,rluscs,day,W m-2,Surface Upwelling Clear-Sky Longwave Radiation,surface_upwelling_longwave_flux_in_air_assuming_clear_sky,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
372,rluscs,6hr,W m-2,Surface Upwelling Clear-Sky Longwave Radiation,surface_upwelling_longwave_flux_in_air_assuming_clear_sky,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
373,rsutcs,mon,W m-2,TOA Outgoing Clear-Sky Shortwave Radiation,toa_outgoing_shortwave_flux_assuming_clear_sky,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
374,rsutcs,day,W m-2,TOA Outgoing Clear-Sky Shortwave Radiation,toa_outgoing_shortwave_flux_assuming_clear_sky,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
375,rsutcs,6hr,W m-2,TOA Outgoing Clear-Sky Shortwave Radiation,toa_outgoing_shortwave_flux_assuming_clear_sky,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
376,rlutcs,mon,W m-2,TOA Outgoing Clear-Sky Longwave Radiation,toa_outgoing_longwave_flux_assuming_clear_sky,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
377,rlutcs,day,W m-2,TOA Outgoing Clear-Sky Longwave Radiation,toa_outgoing_longwave_flux_assuming_clear_sky,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
378,rlutcs,6hr,W m-2,TOA Outgoing Clear-Sky Longwave Radiation,toa_outgoing_longwave_flux_assuming_clear_sky,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
379,z0,mon,m,Surface Roughness Length,surface_roughness_length,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
380,z0,day,m,Surface Roughness Length,surface_roughness_length,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
381,cape,mon,J kg-1,Convective Available Potential Energy,atmosphere_convective_available_potential_energy_wrt_surface,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
382,cape,day,J kg-1,Convective Available Potential Energy,atmosphere_convective_available_potential_energy_wrt_surface,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
383,cape,1hr,J kg-1,Convective Available Potential Energy,atmosphere_convective_available_potential_energy_wrt_surface,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
384,li,mon,K,Lifted Index,temperature_difference_between_ambient_air_and_air_lifted_adiabatically_from_the_surface,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
385,li,day,K,Lifted Index,temperature_difference_between_ambient_air_and_air_lifted_adiabatically_from_the_surface,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
386,li,1hr,K,Lifted Index,temperature_difference_between_ambient_air_and_air_lifted_adiabatically_from_the_surface,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
387,cin,mon,J kg-1,Convective Inhibition,atmosphere_convective_inhibition_wrt_surface,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
388,cin,day,J kg-1,Convective Inhibition,atmosphere_convective_inhibition_wrt_surface,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
389,cin,1hr,J kg-1,Convective Inhibition,atmosphere_convective_inhibition_wrt_surface,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
390,capemax,mon,J kg-1,Daily Maximum Convective Available Potential Energy,atmosphere_convective_available_potential_energy_wrt_surface,area: mean time: maximum within days time: mean over days,TIER2,,,,,,,,,,,,,,,0,0
391,capemax,day,J kg-1,Daily Maximum Convective Available Potential Energy,atmosphere_convective_available_potential_energy_wrt_surface,area: mean time: maximum,TIER2,,,,,,,,,,,,,,,0,0
392,limax,mon,K,Daily Maximum Lifted Index,temperature_difference_between_ambient_air_and_air_lifted_adiabatically_from_the_surface,area: mean time: maximum within days time: mean over days,TIER2,,,,,,,,,,,,,,,0,0
393,limax,day,K,Daily Maximum Lifted Index,temperature_difference_between_ambient_air_and_air_lifted_adiabatically_from_the_surface,area: mean time: maximum,TIER2,,,,,,,,,,,,,,,0,0
394,cinmax,mon,J kg-1,Daily Maximum Convective Inhibition,atmosphere_convective_inhibition_wrt_surface,area: mean time: maximum within days time: mean over days,TIER2,,,,,,,,,,,,,,,0,0
395,cinmax,day,J kg-1,Daily Maximum Convective Inhibition,atmosphere_convective_inhibition_wrt_surface,area: mean time: maximum,TIER2,,,,,,,,,,,,,,,0,0
396,od550aer,mon,1,Ambient Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,area: time: mean,TIER2,"long_name fixed, 2022.09.22  https://github.com/WCRP-CORDEX/cordex-cmip6-data-request/issues/6",,,,,,,,,,,,,,0,0
397,ua150,mon,m s-1,Eastward Wind at 150hPa,eastward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
398,ua150,day,m s-1,Eastward Wind at 150hPa,eastward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
399,ua150,6hr,m s-1,Eastward Wind at 150hPa,eastward_wind,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
400,ua100,mon,m s-1,Eastward Wind at 100hPa,eastward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
401,ua100,day,m s-1,Eastward Wind at 100hPa,eastward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
402,ua100,6hr,m s-1,Eastward Wind at 100hPa,eastward_wind,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
403,ua70,mon,m s-1,Eastward Wind at 70hPa,eastward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
404,ua70,day,m s-1,Eastward Wind at 70hPa,eastward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
405,ua70,6hr,m s-1,Eastward Wind at 70hPa,eastward_wind,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
406,ua50,mon,m s-1,Eastward Wind at 50hPa,eastward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
407,ua50,day,m s-1,Eastward Wind at 50hPa,eastward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
408,ua50,6hr,m s-1,Eastward Wind at 50hPa,eastward_wind,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
409,ua30,mon,m s-1,Eastward Wind at 30hPa,eastward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
410,ua30,day,m s-1,Eastward Wind at 30hPa,eastward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
411,ua30,6hr,m s-1,Eastward Wind at 30hPa,eastward_wind,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
412,ua20,mon,m s-1,Eastward Wind at 20hPa,eastward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
413,ua20,day,m s-1,Eastward Wind at 20hPa,eastward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
414,ua20,6hr,m s-1,Eastward Wind at 20hPa,eastward_wind,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
415,ua10,mon,m s-1,Eastward Wind at 10hPa,eastward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
416,ua10,day,m s-1,Eastward Wind at 10hPa,eastward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
417,ua10,6hr,m s-1,Eastward Wind at 10hPa,eastward_wind,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
418,va150,mon,m s-1,Northward Wind at 150hPa,northward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
419,va150,day,m s-1,Northward Wind at 150hPa,northward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
420,va150,6hr,m s-1,Northward Wind at 150hPa,northward_wind,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
421,va100,mon,m s-1,Northward Wind at 100hPa,northward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
422,va100,day,m s-1,Northward Wind at 100hPa,northward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
423,va100,6hr,m s-1,Northward Wind at 100hPa,northward_wind,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
424,va70,mon,m s-1,Northward Wind at 70hPa,northward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
425,va70,day,m s-1,Northward Wind at 70hPa,northward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
426,va70,6hr,m s-1,Northward Wind at 70hPa,northward_wind,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
427,va50,mon,m s-1,Northward Wind at 50hPa,northward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
428,va50,day,m s-1,Northward Wind at 50hPa,northward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
429,va50,6hr,m s-1,Northward Wind at 50hPa,northward_wind,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
430,va30,mon,m s-1,Northward Wind at 30hPa,northward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
431,va30,day,m s-1,Northward Wind at 30hPa,northward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
432,va30,6hr,m s-1,Northward Wind at 30hPa,northward_wind,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
433,va20,mon,m s-1,Northward Wind at 20hPa,northward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
434,va20,day,m s-1,Northward Wind at 20hPa,northward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
435,va20,6hr,m s-1,Northward Wind at 20hPa,northward_wind,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
436,va10,mon,m s-1,Northward Wind at 10hPa,northward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
437,va10,day,m s-1,Northward Wind at 10hPa,northward_wind,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
438,va10,6hr,m s-1,Northward Wind at 10hPa,northward_wind,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
439,ta150,mon,K,Air Temperature at 150hPa,air_temperature,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
440,ta150,day,K,Air Temperature at 150hPa,air_temperature,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
441,ta150,6hr,K,Air Temperature at 150hPa,air_temperature,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
442,ta100,mon,K,Air Temperature at 100hPa,air_temperature,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
443,ta100,day,K,Air Temperature at 100hPa,air_temperature,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
444,ta100,6hr,K,Air Temperature at 100hPa,air_temperature,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
445,ta70,mon,K,Air Temperature at 70hPa,air_temperature,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
446,ta70,day,K,Air Temperature at 70hPa,air_temperature,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
447,ta70,6hr,K,Air Temperature at 70hPa,air_temperature,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
448,ta50,mon,K,Air Temperature at 50hPa,air_temperature,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
449,ta50,day,K,Air Temperature at 50hPa,air_temperature,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
450,ta50,6hr,K,Air Temperature at 50hPa,air_temperature,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
451,ta30,mon,K,Air Temperature at 30hPa,air_temperature,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
452,ta30,day,K,Air Temperature at 30hPa,air_temperature,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
453,ta30,6hr,K,Air Temperature at 30hPa,air_temperature,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
454,ta20,mon,K,Air Temperature at 20hPa,air_temperature,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
455,ta20,day,K,Air Temperature at 20hPa,air_temperature,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
456,ta20,6hr,K,Air Temperature at 20hPa,air_temperature,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
457,ta10,mon,K,Air Temperature at 10hPa,air_temperature,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
458,ta10,day,K,Air Temperature at 10hPa,air_temperature,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
459,ta10,6hr,K,Air Temperature at 10hPa,air_temperature,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
460,hus150,mon,1,Specific Humidity at 150hPa,specific_humidity,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
461,hus150,day,1,Specific Humidity at 150hPa,specific_humidity,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
462,hus150,6hr,1,Specific Humidity at 150hPa,specific_humidity,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
463,hus100,mon,1,Specific Humidity at 100hPa,specific_humidity,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
464,hus100,day,1,Specific Humidity at 100hPa,specific_humidity,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
465,hus100,6hr,1,Specific Humidity at 100hPa,specific_humidity,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
466,hus70,mon,1,Specific Humidity at 70hPa,specific_humidity,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
467,hus70,day,1,Specific Humidity at 70hPa,specific_humidity,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
468,hus70,6hr,1,Specific Humidity at 70hPa,specific_humidity,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
469,hus50,mon,1,Specific Humidity at 50hPa,specific_humidity,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
470,hus50,day,1,Specific Humidity at 50hPa,specific_humidity,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
471,hus50,6hr,1,Specific Humidity at 50hPa,specific_humidity,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
472,hus30,mon,1,Specific Humidity at 30hPa,specific_humidity,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
473,hus30,day,1,Specific Humidity at 30hPa,specific_humidity,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
474,hus30,6hr,1,Specific Humidity at 30hPa,specific_humidity,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
475,hus20,mon,1,Specific Humidity at 20hPa,specific_humidity,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
476,hus20,day,1,Specific Humidity at 20hPa,specific_humidity,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
477,hus20,6hr,1,Specific Humidity at 20hPa,specific_humidity,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
478,hus10,mon,1,Specific Humidity at 10hPa,specific_humidity,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
479,hus10,day,1,Specific Humidity at 10hPa,specific_humidity,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
480,hus10,6hr,1,Specific Humidity at 10hPa,specific_humidity,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
481,zg150,mon,m,Geopotential Height at 150hPa,geopotential_height,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
482,zg150,day,m,Geopotential Height at 150hPa,geopotential_height,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
483,zg150,6hr,m,Geopotential Height at 150hPa,geopotential_height,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
484,zg100,mon,m,Geopotential Height at 100hPa,geopotential_height,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
485,zg100,day,m,Geopotential Height at 100hPa,geopotential_height,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
486,zg100,6hr,m,Geopotential Height at 100hPa,geopotential_height,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
487,zg70,mon,m,Geopotential Height at 70hPa,geopotential_height,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
488,zg70,day,m,Geopotential Height at 70hPa,geopotential_height,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
489,zg70,6hr,m,Geopotential Height at 70hPa,geopotential_height,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
490,zg50,mon,m,Geopotential Height at 50hPa,geopotential_height,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
491,zg50,day,m,Geopotential Height at 50hPa,geopotential_height,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
492,zg50,6hr,m,Geopotential Height at 50hPa,geopotential_height,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
493,zg30,mon,m,Geopotential Height at 30hPa,geopotential_height,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
494,zg30,day,m,Geopotential Height at 30hPa,geopotential_height,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
495,zg30,6hr,m,Geopotential Height at 30hPa,geopotential_height,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
496,zg20,mon,m,Geopotential Height at 20hPa,geopotential_height,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
497,zg20,day,m,Geopotential Height at 20hPa,geopotential_height,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
498,zg20,6hr,m,Geopotential Height at 20hPa,geopotential_height,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
499,zg10,mon,m,Geopotential Height at 10hPa,geopotential_height,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
500,zg10,day,m,Geopotential Height at 10hPa,geopotential_height,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
501,zg10,6hr,m,Geopotential Height at 10hPa,geopotential_height,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
502,wa150,mon,m s-1,Upward Air Velocity at 150hPa,upward_air_velocity,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
503,wa150,day,m s-1,Upward Air Velocity at 150hPa,upward_air_velocity,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
504,wa150,6hr,m s-1,Upward Air Velocity at 150hPa,upward_air_velocity,area: mean time: point,TIER2,,,,,,,,,,,,,,,0,0
505,wa100,mon,m s-1,Upward Air Velocity at 100hPa,upward_air_velocity,area: time: mean,TIER2,,,,,,,,,,,,,,,0,0
